NVSS J204744+305449;311.9335;30.91364;355.83992401861514;76.29816928991744
5C  8.129;312.2667;30.1414;651.075826278208;319.06415243259187
5C  8.92;311.4921;31.10175;160.071824145358;88.24731700719792
5C  8.82;311.3167;30.2272;300.9727593520329;474.7815278764515
NVSS J204558+310606;311.4933;31.10111;160.63341494467429;88.26782773788673
SNR G073.6-07.8;311.667;30.892;268.9231446592105;137.94558827906354
5C  8.74;311.0967;30.41;182.35460194989255;444.7564455458729
[DSL2000] 2047+304;312.3;30.6;555.3946125162378;128.7042799553892
5C  8.117;311.9825;30.4092;490.1017344550216;268.85615733973964
[DSL2000] 2045+306;311.804;30.822;332.4497659100313;138.84588335185953
1RXS J204455.7+302334;311.2321;30.39292;233.38706088830855;424.8512786078444
NVSS J204350+311530;310.9596;31.25839;-59.68550272008508;129.74524503137118
NVSS J204738+304633;311.9113;30.77611;380.15257349126546;135.8980202457358
5C  8.100;311.615;29.9117;477.78146088506446;542.18125205365
V* AL Cyg;311.814;31.21292;245.17529222940618;-20.072878155975985
5C  8.95;311.5571;31.3297;129.78407509505772;-16.220793228038104
NGC  6960;311.4083;30.7083;221.91083933854475;263.0462887645201
1RXS J204427.4+303440;311.1142;30.57792;149.89373574726218;373.6482714667668
V* CR Cyg;312.3303;30.04106;696.6103747473356;346.40509327807575
5C  8.110;311.7846;30.9772;289.7488425239883;80.39331560466414
NVSS J204423+302441;311.0971;30.41158;182.1311659821361;444.0408119224246
[P2004] 15;312.2754;30.83556;491.8442951289914;39.3085436146753
B2 2044+30;311.7159;30.28633;426.1535304120905;371.49408749712643
HD 335234;312.3278;29.957;715.4081491235311;380.5697562602069
IRAS 20460+3019;312.0239;30.5049;482.1607870375525;222.1863052877172
87GB 204607.1+301750;312.046;30.483;494.90803826771855;226.54119320075296
5C  8.108;311.7379;30.7767;320.12459862188496;170.17792127274578
5C  8.94;311.5567;30.0622;422.6469984206934;493.34676764211133
4C 30.40;311.925;30.873;362.35770572605594;94.29522328790608
IRAS 20439+3043;311.508;30.908;210.30866437910055;163.0088663752882
5C  8.128;312.2437;29.9236;693.9838812574311;410.9505381954723
GB6 B2045+3102;311.8579;31.22444;257.5928993485375;-33.39757700479524
5C  8.81;311.2904;30.8231;154.63240538394777;240.15264591802577
5C  8.121;312.1304;30.9019;426.4172308364401;41.73729974198014
5C  8.118;312.0729;31.3303;306.7849080902943;-118.53554803920187
5C  8.72;311.0892;30.9164;63.53100988486926;242.1988834996841
5C  8.65;310.9329;30.3981;128.04963402604056;481.88082425531707
5C  8.115;311.9325;31.3731;248.66210269420662;-107.84189186237191
IRAS 20438+3038;311.4884;30.8193;224.01886787991185;202.5511465688773
TGU H453 P4;311.42;30.73;220.95789023745428;252.00202287901521
5C  8.71;310.9908;30.3864;150.89744794112704;475.178779169928
LSPM J2045+3009;311.3618;30.15881;332.4395316192181;493.3381544385037
GB6 J2045+3120;311.1645;31.33447;-6.464972627637508;58.99740388914648
5C  8.104;311.666;31.11272;217.46909249395566;49.472250146098844
5C  8.77;311.1637;31.3361;-7.115203879878095;58.497496322743814
[GS55] 221;311.4;30.73;214.03190043491605;255.95961383845145
5C  8.114;311.9113;30.7769;379.968957966619;135.58105616321848
[DSL2000] 2046+297;312.267;29.89;709.9391865494183;419.699859733969
87GB 204635.5+311346;312.163;31.415;317.9133656936427;-170.39655915316527
1RXS J204419.9+302318;311.0829;30.38847;182.49232839949838;456.1582431981759
MITG J204728+3002;311.8667;30.03417;537.0838156942109;442.5411916269531
5C  8.113;311.8513;31.2211;256.09991099151387;-30.74861755472287
1RXS J204435.7+301713;311.1487;30.28695;228.71402359534585;484.0425338190857
IRAS 20454+2953;311.8924;30.0697;537.769819605243;423.1238655565587
[GS55] 222;312.12;30.38;544.5286695897207;252.9895757882506
5C  8.97;311.5825;31.2164;164.72183066304936;24.312269563178234
B2.1 2044+30;311.7083;30.27861;425.3024751062153;376.1126839708577
[GS55] 224;312.23;31.23;384.0737435498303;-109.60800282440775
NVSS J204439+312004;311.1642;31.33447;-6.568351765209229;59.05616434832166
[TVH89] 432;311.6575;30.1314;441.73656261300795;445.39800049611176
IRAS 20433+2958;311.353;30.1644;328.08515417968533;492.8391285125042
87GB 204524.1+295209;311.871;30.053;534.2058262751283;434.12082844944644
5C  8.87;311.3567;31.4006;44.490716728899145;-5.317918736504282
IRAS 20418+3011;310.9775;30.376;148.6475835851944;481.9958187103467
NVSS J204640+310644;311.6671;31.1125;217.8989533684027;49.34296837638354
[KLK2001] 960911.12;311.8;30.6;382.57829827039325;228.76270947908
2MASX J20443218+3055103;311.1341;30.91954;78.35352924626983;232.1075096199669
IRAS 20436+3047;311.4288;30.9669;169.35196070012026;154.9749789197324
EUVE J2045+31.0;311.45;31;169.03557493451848;137.4762016568502
LP  340-44;311.5089;30.27408;357.0463511047999;417.6982286569412
IRAS 20464+3046;312.1218;30.9649;408.76460440808614;18.204670845495514
5C  8.73;311.0942;30.3386;197.87161367083263;474.0186811383394
[KWH73] 3;311.913;30.78;379.83532448921267;133.99842576089418
5C  8.86;311.3546;29.9094;387.40956576240194;595.135422428391
TXS 2042+302;311.0799;30.42575;172.8937640984199;441.7292467391434
5C  8.70;310.9583;31.2586;-60.18243237926913;129.91458163554447
NVSS J204554+295349;311.4763;29.89711;432.74714685077805;575.7870802060352
V* V571 Cyg;311.1827;30.03686;298.03688889730046;578.0326018540045
LSPM J2047+3011;311.7835;30.1855;473.0197761675634;398.4684960664313
